Name,Price,Product Details
Sharpie®PermanentUltra-FinePointMarkers Black PackOf12Markers, $6.99 ,"Item :451898 ,OfficeMax :10014156,Manufacturer :37001 ,quantity: 12 ,point type: Ultra Fine ,Color (Barrel): Gray ,Color (Ink): Black ,pocket clip: Yes ,erasable: No ,grip type: Contoured ,Low Viscosity: No ,magnetic: No ,odorless: No ,Permanent: Yes ,Pressure-Resistant Tip: Yes ,refillable: No ,retractable: No ,Smudge Resistant: Yes ,visible ink supply: No ,washable: No ,ink type: Liquid ,Product Line: Sharpie Ultra-Fine Permanent Markers ,marker type: Permanent ,Quick Drying: Yes ,brand name: Sharpie ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Marker Pen ,Marker Point Style: Narrow ,Marker Point: Ultra Fine"
OfficeDepot®BrandPresharpenedPencils #2MediumSoftLead Yellow PackOf12, $1.49 ,"Item :238112 ,OfficeMax :25416737,Manufacturer :2016-V02 ,Color (Barrel): Yellow ,primary material: Wood ,material family: Wood ,eraser included: Yes ,grip type: Hexagonal ,lead type: 2 Medium Soft ,presharpened: Yes ,Product Line: Pencils ,quantity: 12 ,brand name: Office Depot ,Distributed By: Office Depot Inc. ,manufacturer: OFFICE DEPOT ,Product Type: Standard Pencil"
TUL®RetractableGelPens MediumPoint 0.7mm PearlWhiteBarrel BlackInk PackOf12Pens, $17.99 ,"Item :9454034 ,Manufacturer :PGM12BK ,Color (Ink): Black ,point size: 0.7 Mm ,Color (Barrel): Pearl White ,point type: Medium ,click style: Top ,erasable: No ,grip type: Cushioned ,ink type: Gel ,refillable: Yes ,retractable: Yes ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: No ,Product Line: Retractable Gel ,material family: Plastic ,Quick Drying: Yes ,quantity: 12 ,brand name: TUL ,Distributed By: Office Depot Inc. ,manufacturer: OFFICE DEPOT ,Product Type: Gel Pen"
Ticonderoga®#2Pre-sharpenedPencils 0.7mm Yellow PackOf72Pencils, $9.99 ,"Item :7956500 ,OfficeMax :25725537,Manufacturer :13972 ,Color (Barrel): Yellow ,primary material: Wood ,material family: Wood ,eraser included: Yes ,grip type: Hexagonal ,lead type: 2 Soft ,presharpened: Yes ,Product Line: Pencils ,quantity: 72 ,brand name: Dixon ,manufacturer: DIXON TICONDEROGA COMPANY ,Product Type: Standard Pencil"
PaperMate®FlairPorous-PointPens MediumPoint 0.7mm AssortedInkColors PackOf12Pens, $9.99 ,"Item :884744 ,OfficeMax :21113947,Manufacturer :74423 ,point size: 0.7 Mm ,Color (Barrel): Black; Blue; Magenta; Green; Lilac; Lime; Orange; Pink; Purple; Red; Sky; Marigold ,point type: Medium ,Color (Ink): Black; Blue; Green; Lilac; Lime; Magenta; Marigold; Orange; Pink; Purple; Red; Sky ,grip type: Contoured ,ink type: Water Based ,refillable: No ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: No ,Product Line: Flair ,material family: Plastic ,Quick Drying: Yes ,quantity: 12 ,brand name: Paper Mate ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Ballpoint Pen ,assembly required: No ,barrel color: Assorted ,ink color: Assorted ,Pen Point: Medium ,pen point size: 1.1 ,Tip Material: Nylon"
OfficeDepot®BrandPen-StyleHighlighters 100%Recycled FluorescentYellow PackOf6, $1.49 ,"Item :874483 ,OfficeMax :24985928,Manufacturer :H-2111BYE6 ,quantity: 6 ,point type: Chisel ,Color (Barrel): Yellow ,Color (Ink): Fluorescent Yellow ,erasable: Yes ,grip type: Contoured ,pocket clip: Yes ,refillable: No ,retractable: No ,Smudge Resistant: Yes ,visible ink supply: No ,washable: No ,Product Line: Pen Style ,brand name: Office Depot ,Distributed By: Office Depot Inc. ,Eco-conscious: Recycled Content; Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,Post Consumer Recycled Content Percentage: 30 % ,Product Type: Highlighter ,Total Recycled Content Percentage: 100 %"
X-ACTO®SchoolPro®ElectricPencilSharpener, $21.99 ,"Item :595671 ,OfficeMax :10123608,Manufacturer :001670 ,color: Transparent Gray ,primary material: Steel ,material family: Metal ,automatic start/stop: Yes ,Material (Cutter): Steel ,Number Of Holes: 6 ,overload protection: Yes ,Recommended Sharpener Use: Adjustable ,Sharpener Type: Freestanding ,Warranty: 10-Year Limited ,Product Line: School Pro ,power source: Plug-In ,quantity: 1 ,brand name: X-Acto ,Product Type: Electric Pencil Sharpener ,Certifications & Standards:"
Sharpie®Accent®Tank-StyleHighlighters AssortedColors PackOf12, $7.99 ,"Item :755263 ,OfficeMax :21875767,Manufacturer :25145 ,quantity: 12 ,point type: Chisel ,Color (Ink): Blue; Green; Lavender; Orange; Pink; Yellow ,Airplane Safe: Yes ,Barrel Type: Tank ,Copy Proof: Yes ,erasable: No ,grip type: Contoured ,odorless: Yes ,pocket clip: No ,refillable: No ,retractable: No ,Smudge Resistant: Yes ,visible ink supply: No ,washable: No ,Product Line: Accent Tank Style ,brand name: Sharpie ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Highlighter"
TUL®RetractableGelPens NeedlePoint 0.5mm SilverBarrel AssortedBrightInks PackOf8Pens, $14.99 ,"Item :217803 ,OfficeMax :25441086,Manufacturer :BGNP05P8 ,point size: 0.5 Mm ,Color (Ink): Pink; Red; Lime; Teal; Sky Blue; Blue; Purple; Black ,Color (Barrel): Silver ,point type: Needle ,click style: Top ,erasable: No ,grip type: Cushioned ,ink type: Gel ,refillable: Yes ,retractable: Yes ,Smudge Resistant: Yes ,Material (barrel): Plastic ,pocket clip: Yes ,visible ink supply: No ,Product Line: Retractable Gel ,material family: Plastic ,quantity: 8 ,brand name: TUL ,Distributed By: Office Depot Inc. ,manufacturer: OFFICE DEPOT ,Product Type: Gel Pen"
Sharpie®King-Size™PermanentMarkers Black PackOf12, $24.99 ,"Item :202812 ,OfficeMax :10014101,Manufacturer :15001 ,point type: Chisel ,Color (Barrel): Silver ,Color (Ink): Black ,pocket clip: No ,Dries In Seconds: Yes ,erasable: No ,grip type: None ,Low Viscosity: No ,magnetic: No ,odorless: No ,Permanent: Yes ,Pressure-Resistant Tip: Yes ,refillable: No ,retractable: No ,Smudge Resistant: Yes ,visible ink supply: No ,washable: No ,ink type: Liquid ,Product Line: Sharpie King-Size Permanent Marker ,marker type: Permanent ,Quick Drying: Yes ,quantity: 12 ,brand name: Sharpie ,Eco-conscious: Less Harsh Chemicals ,Eco Label Standard: Certified AP Nontoxic ,manufacturer: NEWELL BRANDS INC. ,Product Type: Marker Pen"
