Name,Price,Product Details
"
				Zebra Pen Bold F-Refill Pen Refills - 1.60 mm, Bold Point - Black Ink - 2 / Pack
				
		        		












	
			,
			
		        
	        ", $2.49 ,"Item #:973239 ,OfficeMax #:22475199,Manufacturer #:ZEB82712  ,Color (Ink):
											Black
										,point type:
											Bold
										,point size:
											1.6 Mm
										,Compatible with:
											,quantity:
											12
										,brand name:
											Zebra Pen
										,Product Type:
											Pen-Style Pen Refill
										,assembly required:
											No
										"
"
				Office Depot® Pom Pom Ballpoint Pen, Medium Point, 0.7 mm, Purple Barrel, Black Ink
				
		        		












	
			,
			
		        
	        ", $1.50 ,"Item #:7818809 ,Manufacturer #:SE035212  ,point size:
												0.7 mm
											,Color (Barrel):
												Purple
											,point type:
												Medium
											,Color (Ink):
												Black
											,erasable:
												No
											,grip type:
												Ergonomic
											,ink type:
												Liquid
											,refillable:
												No
											,retractable:
												No
											,Material (barrel):
												Plastic
											,pocket clip:
												No
											,Product Line:
												Pom Pom
											,material family:
												Plastic
											,quantity:
												1
											,brand name:
												Office Depot
											,Distributed By:
												Office Depot Inc.
											,manufacturer:
												OFFICE DEPOT
											,Product Type:
												Ballpoint Pen
											"
"
				Prismacolor Scholar Manga Drawing Set, 10-Piece Kit
				
		        		












	
			,
			
		        
	        ", $9.99 ,"Item #:1712035 ,OfficeMax #:23329373,Manufacturer #:1822417  ,color:
											Black; Crimson Red; Non-Photo Blue
										,point size:
											7 mm
										,Art Pencil Type:
											Color Pencil; Sketching
										,erasable:
											Yes
										,grip type:
											None
										,Smudge Resistant:
											No
										,washable:
											No
										,Product Line:
											Scholar Manga Drawing Set
										,quantity:
											1
										,brand name:
											Prismacolor
										,Eco Label Standard:
											ASTM D4236
										,Eco Policy Compliance:
											Other
										,Product Type:
											Art Pencil
										"
"
				Parker® Jotter Fountain Pen, Medium Point, 1.0 mm, Blue/Stainless-Steel Barrel, Blue Ink
				
		        		












	
			,
			
		        
	        ", $25.99 ,"Item #:4621871 ,Manufacturer #:2031017  ,Color (Barrel):
												Blue/Stainless Steel
											,point type:
												Medium
											,Color (Ink):
												Blue
											,point size:
												1.0 mm
											,grip type:
												Contoured
											,ink type:
												Water Based
											,Material (barrel):
												Stainless Steel; Plastic; Metal
											,Material (nib):
												Metal
											,pocket clip:
												Yes
											,refillable:
												Yes
											,visible ink supply:
												No
											,Product Line:
												Jotter
											,Quick Drying:
												Yes
											,material family:
												Metal
											,quantity:
												1
											,brand name:
												Parker
											,manufacturer:
												NEWELL BRANDS INC.
											,Product Type:
												Fountain Pen
											"
"
				Zebra Pen Eco Double-ended Highlighter - Fine Marker Point - Chisel Marker Point Style - Fluorescent Green, Fluorescent Blue, Fluorescent Pink, Fluorescent Yellow, Fluorescent Orange - 5 / Set
				
		        		












	
			,
			
		        
	        ", $9.59 ,"Item #:841550 ,OfficeMax #:21676483,Manufacturer #:ZEB75005  ,point type:
											Fine; Chisel
										,Color (Ink):
											Fluorescent Green; Fluorescent Blue; Fluorescent Pink; Fluorescent Yellow; Fluorescent Orange
										,quantity:
											5
										,brand name:
											Zebra Pen
										,Eco-conscious:
											Recycled Content
										,Post Consumer Recycled Content Percentage:
											74 %
										,Product Type:
											Highlighter
										,Total Recycled Content Percentage:
											74 %
										,assembly required:
											No
										,ink color:
											Fluorescent Green; Fluorescent Blue; Fluorescent Pink; Fluorescent Yellow; Fluorescent Orange
										,Marker Point:
											Fine
										,Marker Point Style:
											Chisel
										"
"
				Berol® by Eberhard Faber® 4009® Highlighters, Blue, Box Of 12
				
		        		












	
			,
			
		        
	        ", $9.49 ,"Item #:877530 ,OfficeMax #:21185762,Manufacturer #:64328  ,point type:
											Chisel
										,Color (Ink):
											Blue
										,Smudge Resistant:
											Yes
										,Product Line:
											4009
										,quantity:
											12
										,brand name:
											Faber-Castell
										,Eco-conscious:
											Less Harsh Chemicals
										,Eco Label Standard:
											Certified AP Nontoxic
										,manufacturer:
											NEWELL BRANDS INC.
										,Product Type:
											Highlighter
										"
"
				Pilot Dr. Grip Center of Gravity Retractable Ballpoint Pens
				
		        		












	
			,
			
		        
	        ", $11.49 ,"Item #:276370 ,OfficeMax #:24021728,Manufacturer #:PIL36204  ,Color (Barrel):
												White
											,Color (Ink):
												Black
											,erasable:
												No
											,Product Line:
												Dr. Grip Center of Gravity
											,quantity:
												1
											,brand name:
												Pilot
											,Product Type:
												Ballpoint Pen
											,Pen Point Style:
												Rectangle
											,pen point size:
												1
											,clip material:
												Metal
											,Recycled Content:
												0%
											,Last_Modified_Date:
												2019-03-19 09:03:50
											,assembly required:
												No
											,Product Name:
												Dr. Grip Center of Gravity Retractable Ballpoint Pens
											,Country of Origin:
												Japan
											"
"
				Paper Mate InkJoy 1.0 mm Retractable Gel Pen - Bold Pen Point - 1 mm Pen Point Size - Yes - Black Gel-based Ink - 4 / Pack
				
		        		












	
			,
			
		        
	        ", $11.19 ,"Item #:8273582 ,Manufacturer #:PAP2061416  ,point size:
											1 mm
										,Color (Ink):
											Black
										,point type:
											Bold
										,ink type:
											Gel
										,retractable:
											Yes
										,pocket clip:
											Yes
										,Product Line:
											Inkjoy
										,quantity:
											4
										,brand name:
											Paper Mate
										,manufacturer:
											SANFORD LP
										,Product Type:
											Gel Pen
										"
"
				Pilot FriXion ColorStix Ballpoint Pen - Black Gel-based Ink - 12 / Dozen
				
		        		












	
			,
			
		        
	        ", $23.09 ,"Item #:286951 ,OfficeMax #:25556247,Manufacturer #:PIL32465  ,Color (Ink):
											Black
										,erasable:
											Yes
										,ink type:
											Gel
										,Product Line:
											FriXion ColorStix
										,quantity:
											12
										,brand name:
											Pilot
										,manufacturer:
											PILOT CORPORATION OF AMERICA
										,Product Type:
											Gel Pen
										"
"
				Pilot G2 Retractable XFine Gel Ink Rollerball Pens - Extra Fine Pen Point - 0.5 mm Pen Point Size - Refillable - Retractable - Green Gel-based Ink - 1 Dozen
				
		        		












	
			,
			
		        
	        ", $23.19 ,"Item #:760932 ,OfficeMax #:24672025,Manufacturer #:PIL31106  ,point size:
											0.5 Mm
										,point type:
											Extra Fine
										,Color (Ink):
											Green
										,Product Line:
											G2
										,quantity:
											12
										,brand name:
											Pilot
										,Product Type:
											Roller Pen
										,assembly required:
											No
										,ink color:
											Green
										,Pen Point:
											Extra Fine
										,pen point size:
											0.5
										"
"
				Pentel® EnerGel Liquid Gel Pen Refills, Bold Point, 1.0 mm, Black Ink, Pack Of 2
				
		        		












	
			,
			
		        
	        ", $2.99 ,"Item #:7429157 ,Manufacturer #:LR10BP2A  ,Color (Ink):
											Black
										,point type:
											Bold
										,point size:
											1.0 mm
										,Compatible with:
											,erasable:
											No
										,ink type:
											Liquid Gel
										,pen type:
											Ballpoint
										,Product Line:
											EnerGel
										,quantity:
											2
										,brand name:
											Pentel
										,manufacturer:
											PENTEL OF AMERICA, LTD.
										,Product Type:
											Pen-Style Pen Refill
										"
